n,CW,LK,2opt,3opt,hybrid_rc,hybrid_mc,borne_inf
6,3320,3320,3320,3320,3320,3320,1884.632258064516
7,2512,2110,2385,2203,2220,2110,1836.25
8,4199,3939,4199,3939,3995,3939,2064.461764705882
9,4916,5432,5432,4059,3788,3098,1733.755952380952
10,3980,3140,3622,3702,3702,2702,1295.9452961672473
11,5653,5653,5653,5545,5690,5120,2177.5839285714283
12,5806,4790,5141,4950,4950,4847,2113.030753968254
13,5822,5117,5227,4472,4228,4228,1817.611111111111
14,9226,8386,8579,7749,6633,6633,2601.2574942604138
15,6236,4804,4882,5350,4323,3736,1518.6449021326325
16,1086,1086,1091,1165,974,928,514.2349813432836
17,1211,1206,1298,1060,787,779,504.55881834406387
18,1799,1840,1842,1799,1519,1410,365.363969917958
19,1807,1510,1714,1602,1390,1387,496.30463228631834
20,1044,1044,1044,919,747,722,320.74428571428575
25,2420,2295,2369,2274,2424,2162,644.0631667083751
30,2706,2423,2569,2345,2118,1913,545.2138951849305
35,3054,2632,2603,2431,2172,2013,564.8336596336596
40,4164,4086,4225,4108,3522,3103,629.3059466666666
45,2666,2236,2402,2375,1686,1674,527.9967224868927
50,1792,1596,1732,1541,1269,1078,398.00954460386777
55,3916,3248,3536,3033,2630,2453,763.1536862361044
60,4105,3193,3569,3101,2331,1959,549.198071647988
65,4218,3400,3570,3307,2556,2308,766.3739538315501
70,4756,4434,4751,4276,3606,3095,586.9473982388944
75,5048,4170,4658,3676,2714,2575,784.7308369659235
80,3126,2167,2512,1712,1119,879,335.6138473865297
85,4856,4521,4653,4239,3209,2769,439.8274270254221
90,6213,4912,5480,4897,3263,3089,728.303723598113
95,7397,5808,6567,5356,3924,3743,731.2681631917154
100,5930,5330,5619,4951,3749,3489,706.2501083768902
